ID,Credit Amount,Is Male,Age in Years,Repay Delay Sep,Repay Delay Aug,Repay Delay Jul,Prior Pay Sep,Prior Pay Aug,Prior Pay Jul,Defaulted,Graduate School,Is Married,Prior Pay Total,Repay Delay Total
120,240000,False,38,0,0,0,2000,3000,3000,False,0,False,11073,0
122,450000,True,40,1,0,0,0,0,0,True,1,True,0,1
123,110000,False,48,1,0,0,0,0,0,False,1,True,0,1
124,310000,False,35,2,0,0,13019,11128,8407,True,0,True,53973,2
125,20000,True,27,0,0,0,1404,1130,600,False,1,False,4308,0
126,20000,True,23,1,0,0,0,0,0,False,0,False,0,1
127,200000,True,52,0,0,0,3568,3585,3602,False,0,False,22056,0
128,180000,True,36,0,0,0,4655,2690,2067,True,1,True,14771,0
129,50000,True,51,0,0,0,1000,1066,1300,True,0,True,6200,0
131,30000,False,23,1,0,0,5645,3508,27,False,1,False,31886,1
132,240000,True,41,1,0,0,2622,3301,0,False,1,False,8944,1
133,420000,True,34,0,0,0,9744,9553,7603,False,0,True,53309,0
134,330000,True,46,0,0,0,8210,8095,8025,False,0,True,49096,0
135,30000,False,22,0,0,0,2000,1400,0,False,0,False,5460,0
137,150000,True,27,0,0,0,2500,3000,3000,False,1,False,20000,0
138,210000,False,33,0,0,0,1500,1500,1000,False,0,True,7046,0
139,50000,False,51,0,0,0,300,5880,0,True,0,True,6180,0
140,50000,True,24,0,0,0,2360,1700,1000,False,1,False,8960,0
141,240000,True,47,1,0,0,0,0,0,True,1,False,0,1
142,180000,True,28,0,0,0,0,416,332,False,0,False,5580,0
144,170000,True,29,0,0,0,10000,10000,10000,False,0,False,65846,0
145,20000,True,29,0,0,0,15586,344,2340,False,1,False,23641,0
146,50000,True,28,0,0,0,1000,1500,2000,False,1,False,7183,3
147,170000,False,27,0,0,0,1661,1200,351,True,0,False,3752,0
148,200000,True,34,1,2,0,8000,5000,55500,False,1,False,87000,3
150,260000,False,60,1,0,0,0,22500,0,False,1,True,24469,1
151,140000,True,32,0,0,0,3455,3110,5000,False,0,True,16267,2
152,80000,True,25,0,0,0,30000,3000,6000,False,1,False,63000,0
153,350000,True,41,1,0,0,2906,1000,630,False,1,False,4536,1
155,30000,False,26,0,0,0,1700,1500,1000,False,0,False,8700,0
156,140000,True,34,0,0,0,5000,5000,11885,False,1,True,35389,0
157,200000,False,37,0,0,0,4000,3250,3250,False,1,False,22560,0
158,200000,False,30,0,0,0,7300,7108,7680,False,0,False,37788,0
160,50000,True,57,3,2,0,0,1600,500,False,0,True,3800,5
162,50000,True,27,2,0,0,390,780,216,False,0,False,2640,4
163,290000,True,47,0,0,0,396,396,792,False,0,True,2376,0
164,250000,False,34,0,0,2,17994,0,5469,False,1,True,39850,2
165,60000,False,46,0,0,0,3000,1500,1500,False,0,True,10000,0
166,110000,False,27,0,0,0,5500,3900,3000,False,1,False,21100,0
167,370000,True,50,0,0,0,15383,8204,15413,False,1,False,61944,0
168,100000,True,27,0,2,2,3166,0,1330,False,0,True,55906,4
169,90000,False,35,0,0,0,3500,3500,3652,False,0,True,24652,2
170,50000,False,22,0,0,0,1510,1442,982,False,0,False,6795,0
171,270000,True,37,0,0,0,5000,2000,3000,False,0,False,19000,0
172,300000,False,30,0,0,0,3288,0,4340,False,1,False,11846,0
173,50000,False,22,0,0,0,15000,1000,149,False,0,False,31149,0
174,50000,False,24,1,0,0,0,0,0,True,1,False,0,1
175,360000,True,29,1,0,0,0,77,0,False,1,False,77,1
177,80000,True,30,0,0,0,504,500,1000,False,1,False,6004,0
178,50000,True,30,1,2,0,0,1500,1000,False,0,False,6500,5
179,20000,False,22,0,0,0,1212,1201,500,False,0,False,6913,0
180,80000,False,29,0,0,2,5800,1000,600,False,0,True,8800,2
181,240000,True,37,0,0,2,15000,0,2000,False,1,False,84191,2
182,80000,False,35,0,0,0,12500,6500,3000,False,0,False,29000,0
184,60000,False,24,0,0,0,2500,1600,3000,True,0,True,10837,0
185,20000,True,25,0,0,0,1200,1593,601,False,0,False,5353,0
186,100000,False,38,1,2,0,0,1600,1500,True,0,True,5600,5
189,130000,False,34,1,0,0,5396,5000,3500,False,0,True,17397,1
191,310000,True,32,0,0,0,10020,6031,10057,False,1,False,40419,0
192,60000,False,27,2,0,0,1342,1664,2000,True,1,False,6752,4
193,180000,False,29,0,0,0,199,0,0,False,1,False,22881,0
194,180000,False,24,0,0,2,37867,0,200,False,1,False,38067,2
195,50000,True,36,0,0,0,2000,1000,2000,False,0,True,26511,0
197,150000,False,34,0,0,0,0,0,116,False,0,True,1616,0
198,20000,False,22,0,0,0,1500,1032,541,False,1,False,24766,0
199,500000,False,34,0,0,0,138,2299,1251,False,1,True,21861,0
200,30000,False,22,1,2,2,1000,85,1714,True,0,False,2903,5
201,180000,False,38,0,0,0,0,0,0,False,1,True,0,0
202,140000,True,31,0,0,2,25000,0,3000,False,1,False,38300,4
203,140000,False,26,0,0,0,10000,13001,5841,False,1,False,49839,0
204,120000,True,26,0,0,0,5000,5000,4152,False,0,False,29152,0
205,360000,False,48,0,0,0,9100,7300,5800,False,0,True,37500,0
206,20000,True,43,0,0,0,22359,1305,1258,False,0,True,31538,0
207,100000,True,47,0,0,0,1473,390,390,False,1,True,5023,0
208,210000,False,41,0,0,0,1586,343,3763,True,0,True,6988,0
209,80000,False,24,0,0,0,3200,3000,2038,True,0,False,13838,0
210,330000,False,50,0,0,0,4345,2854,1702,False,1,True,10868,0
212,210000,False,38,1,0,0,0,250,0,True,1,True,11877,1
213,40000,False,43,0,0,0,1700,1504,1200,False,0,True,8404,0
214,30000,True,39,0,0,0,3036,2309,0,False,0,False,8493,2
216,30000,True,42,0,0,0,390,390,240,False,0,True,2490,2
217,240000,False,36,1,0,0,0,0,0,True,0,True,0,1
218,80000,True,36,2,0,0,3100,3500,3400,False,0,False,19500,2
219,110000,False,31,0,0,0,4000,5000,3000,False,0,False,26954,0
220,310000,False,38,0,0,0,4542,126,0,False,1,False,4668,0
222,330000,False,45,0,0,0,12388,12378,12116,False,0,False,73223,0
223,300000,False,35,0,0,0,12019,9006,17000,False,0,False,74582,0
224,320000,False,33,0,0,0,10042,18832,2117,False,0,False,41866,0
226,170000,False,28,0,0,0,6530,4860,22500,False,1,False,48549,0
227,350000,True,44,0,0,0,2686,1864,569,False,0,True,5119,0
228,20000,True,37,0,0,0,1609,3000,663,False,0,True,7564,0
229,50000,True,23,2,0,0,2401,2254,2004,True,0,False,9074,2
230,20000,False,24,1,2,0,0,1333,500,False,0,False,5133,3
231,50000,False,24,0,0,0,2090,2002,1002,False,1,False,6732,0
232,20000,True,23,1,2,0,0,1200,1000,True,0,False,13200,5
233,50000,True,26,0,0,0,0,0,2624,False,0,True,51938,0
235,60000,False,33,0,0,0,1506,1298,1000,False,0,True,5935,0
236,80000,True,35,0,0,0,3983,6853,1719,False,1,False,36293,0
237,150000,False,27,0,0,0,4500,1745,1566,False,0,False,12625,0
238,210000,False,31,0,0,0,0,7422,893,False,1,False,19989,0
239,240000,False,50,0,0,0,10116,9150,8008,True,0,True,50997,0
240,140000,False,41,0,0,0,3000,2000,2198,True,0,False,13597,0
241,60000,False,28,1,2,2,0,0,0,False,1,False,2285,5
242,50000,True,39,0,0,0,1800,2000,3000,False,1,False,12800,0
243,50000,False,27,0,0,0,1800,1750,900,False,0,False,7950,0
244,180000,False,32,0,0,2,2821,0,0,False,1,False,5818,4
246,20000,False,40,0,0,0,1601,2203,2114,False,0,False,5918,0
247,250000,False,75,0,0,0,1631,1536,1010,False,0,True,11727,0
248,100000,False,27,0,0,0,1788,1799,1100,False,0,False,8260,0
249,330000,True,25,0,0,0,2504,4007,5056,False,1,False,15230,2
250,50000,True,46,0,0,0,1561,1268,587,False,0,True,7027,0
251,50000,False,26,1,2,2,1710,136,1206,False,0,False,10062,5
252,30000,True,28,0,0,0,5006,1244,851,False,0,False,8056,0
253,140000,False,26,0,0,0,5366,5087,3605,True,0,False,25041,0
255,400000,False,29,0,0,0,3127,1469,4968,False,0,False,14825,0
256,50000,True,25,0,0,0,1565,1393,980,False,0,True,6842,0
257,140000,False,48,0,0,0,1233,1075,1355,False,0,True,27501,0
258,160000,False,33,0,0,0,2453,9880,52572,False,0,True,68661,0
259,100000,False,43,0,0,0,0,0,0,False,0,True,0,0
260,220000,True,48,2,0,0,10000,9020,6000,True,1,True,42020,2
262,50000,True,29,0,0,0,1602,1400,3000,False,0,False,16512,0
263,160000,False,38,0,0,0,4664,5969,18941,False,1,True,44142,2
264,230000,False,37,0,0,0,51315,0,0,False,1,False,51952,0
265,80000,False,37,0,0,0,258,5995,188,False,1,False,28957,0
266,150000,False,25,0,0,0,0,0,316,False,0,True,1264,0
267,10000,True,23,0,0,0,1134,1298,478,False,0,False,3932,2
268,130000,False,49,0,0,0,4100,3095,1630,True,0,False,9986,0
269,40000,False,48,0,0,0,1600,1600,1500,False,1,False,9200,0
271,100000,True,32,0,0,0,2035,2004,616,False,0,False,9686,0
272,120000,True,34,0,2,0,0,1350,0,False,1,True,1800,2
273,260000,False,58,1,0,0,0,0,0,True,1,False,0,1
274,200000,False,33,0,0,0,2000,1322,2000,False,0,False,11522,0
275,360000,False,28,0,0,0,0,0,0,True,0,False,0,0
276,70000,False,36,0,0,0,4483,12496,3268,False,0,False,28247,0
277,460000,True,40,2,0,0,2728,0,2654,True,1,True,27927,2
278,50000,False,26,0,0,0,316,316,316,False,1,False,1896,0
279,50000,True,33,0,0,0,2007,2199,691,False,0,True,7004,0
280,250000,False,31,0,0,0,4000,4500,5000,False,0,True,26900,0
281,30000,False,27,0,0,0,1000,664,1500,False,1,False,3164,0
283,180000,False,30,0,0,0,7722,6091,3563,False,0,False,27192,0
284,100000,False,28,0,0,0,4173,3000,2025,False,1,False,20198,0
285,230000,False,32,0,0,0,5000,5000,5000,False,0,True,29000,0
287,210000,True,38,2,0,0,3276,2026,2000,False,1,False,13804,2
288,440000,False,46,0,0,0,8610,6907,3727,False,0,True,29746,0
289,100000,False,25,2,0,0,3472,2092,2000,True,0,False,13210,2
290,240000,False,46,0,0,0,1295,1000,1000,False,0,True,6295,0
292,50000,False,22,1,0,0,0,0,0,True,0,False,0,1
294,10000,True,27,0,0,2,3507,0,500,True,0,False,5470,2
295,130000,True,29,1,0,0,0,0,0,False,1,False,1500,1
296,200000,True,31,0,0,0,9000,7465,4715,False,1,False,36425,0
297,120000,False,29,0,0,0,657,2319,1423,False,0,True,8715,0
298,210000,False,36,0,0,0,6483,5082,6000,False,0,True,32709,0
299,280000,False,36,0,0,0,2755,3463,1300,False,1,True,11718,0
300,300000,True,34,1,0,0,0,13001,0,True,1,False,32799,1
301,100000,True,37,0,0,0,3490,2332,2314,False,0,False,15303,0
303,50000,False,40,0,0,0,2400,1206,1000,False,0,True,7606,0
304,20000,False,25,0,0,2,2800,0,4000,True,1,False,11500,2
305,200000,False,27,0,0,0,665,960,3908,False,1,False,12927,0
306,110000,False,26,0,0,0,3220,5904,0,False,0,False,12124,0
307,500000,False,36,0,0,0,23962,0,8500,False,0,True,37052,0
308,300000,False,27,1,0,0,5215,0,0,False,0,True,5215,1
310,60000,False,27,0,0,0,13809,14583,4889,False,1,False,47111,0
311,400000,False,38,0,0,0,1000,1354,5322,False,0,True,19153,0
312,180000,False,34,0,0,0,7000,5000,5000,False,0,True,32000,0
313,20000,True,40,0,0,0,3000,3100,0,False,1,False,10600,2
315,100000,True,27,0,0,0,1631,1286,200,False,1,False,4871,0
316,60000,True,23,0,0,0,1970,2000,618,True,0,False,8013,0
317,110000,False,36,0,0,0,2200,2500,2000,False,0,False,13500,0
318,260000,False,53,1,0,0,165,526,452,False,0,True,2484,1
320,180000,True,29,1,0,0,0,0,0,False,0,False,0,1
321,110000,True,29,1,2,2,2500,0,2000,True,0,False,10354,5
322,340000,False,27,0,0,0,21105,5461,5000,False,1,False,90147,0
323,50000,True,24,0,0,0,1070,1500,3666,False,0,False,11019,0
324,230000,False,28,0,0,0,1710,1100,1000,True,0,True,11750,0
325,360000,False,32,0,0,0,10000,7000,10000,False,0,False,57000,0
326,210000,True,43,1,0,0,0,38013,3000,False,0,False,52013,1
331,200000,False,37,1,0,2,1000,0,6900,True,0,True,51400,3
332,130000,False,40,0,0,2,3000,0,500,True,0,False,7200,2
333,60000,False,28,1,2,0,0,1483,673,False,1,False,30696,3
334,400000,False,43,1,0,0,0,0,0,False,0,True,79988,1
335,20000,True,27,0,0,0,1323,1600,830,False,1,False,5503,0
336,190000,False,28,0,0,0,5795,7408,5645,False,1,False,36836,0
337,260000,False,30,0,0,0,10000,8000,6000,False,1,False,44000,0
338,140000,False,31,0,0,0,0,0,0,False,0,False,0,0
339,50000,False,31,0,0,0,1974,4406,1061,True,0,True,10607,0
340,120000,False,34,0,0,0,6900,5037,1100,False,1,False,20204,0
341,240000,False,30,0,0,0,92,92,0,False,0,False,2159,0
342,50000,True,36,0,0,0,1212,1200,0,False,0,False,3390,0
343,200000,False,29,0,2,0,0,4872,20183,False,1,False,31055,4
345,180000,False,26,0,0,0,5440,5051,3835,False,1,False,26710,0
346,160000,False,29,0,0,0,0,0,5000,False,1,False,24500,0
347,100000,False,26,0,0,0,4210,4159,1000,False,0,False,13974,0
348,50000,False,29,0,0,0,3000,2000,2000,True,0,False,13000,0
349,140000,False,31,0,0,0,6600,6500,5100,False,0,False,34500,0
350,30000,False,26,0,0,0,1411,1522,621,True,0,False,6064,0
351,90000,True,26,0,0,0,1541,4200,0,False,1,False,31842,0
353,380000,True,30,1,0,0,0,0,0,True,1,False,0,1
354,80000,False,43,0,0,0,3177,2600,3000,False,0,False,12045,0
356,180000,True,45,0,0,0,1481,2000,1100,True,0,True,8781,0
357,240000,False,26,0,0,0,6349,5834,3870,False,0,False,27398,0
358,380000,True,34,0,0,0,9010,35000,5000,False,0,False,64410,0
359,110000,False,24,0,0,0,3000,2900,2900,False,0,False,19300,0
362,320000,False,30,0,0,0,2589,2568,2570,False,0,False,15669,0
364,110000,True,40,1,0,0,0,2066,0,True,1,True,2564,1
365,230000,False,35,0,0,0,300,399,665,False,1,False,3073,0
366,330000,False,56,1,0,0,1529,1507,0,False,0,True,16061,1
367,50000,False,61,0,0,0,3000,2237,975,False,0,True,10251,0
369,300000,True,40,1,0,0,0,0,0,False,1,True,0,1
370,20000,False,32,3,2,0,0,1168,384,True,0,True,3190,5
371,180000,True,36,2,2,0,0,0,0,True,0,True,0,4
374,30000,True,54,0,0,0,2500,2000,1500,False,0,False,12000,0
376,30000,True,58,0,0,0,1640,1700,915,False,0,True,8016,0
377,30000,True,43,1,2,0,0,1342,946,False,0,True,7488,5
378,140000,False,28,0,0,0,14000,3855,4991,False,1,False,35946,0
379,210000,True,30,0,0,0,3500,3000,2000,False,1,False,25500,0
380,50000,True,31,0,0,0,2000,3000,327,True,0,False,16327,0
381,130000,False,29,0,0,0,4200,2575,2600,False,0,False,20500,0
383,140000,True,36,0,0,0,3000,30000,4000,False,0,True,47700,0
384,170000,False,28,0,0,0,1105,1903,0,True,0,False,3899,2
385,80000,True,25,0,0,0,10010,1209,579,False,0,False,18103,0
386,410000,False,42,0,0,0,15000,14000,9000,False,0,True,63800,0
387,80000,False,29,1,0,0,80000,0,0,False,1,False,80000,1
389,150000,True,43,0,0,0,7900,6500,5700,False,0,True,36834,0
391,350000,True,38,1,0,0,0,0,0,False,1,True,0,1
392,280000,False,39,1,0,0,38621,2000,1130,True,0,True,48684,1
393,310000,True,44,0,0,0,4400,4013,3011,False,0,True,20078,0
394,140000,False,29,0,0,0,3000,3000,3000,False,0,False,16500,0
395,360000,True,51,0,0,0,25000,0,0,False,1,True,25000,0
396,140000,False,27,0,0,0,10000,10000,6000,False,1,False,43600,0
397,100000,True,38,0,0,0,2502,1200,860,False,1,False,5141,0
398,50000,False,22,0,0,0,0,0,848,False,0,False,1480,0
399,210000,False,30,0,0,0,4002,5000,3500,False,0,True,23202,0
402,60000,False,42,0,0,0,1488,1394,962,False,0,False,9885,0
403,150000,True,41,0,0,0,2091,384,0,True,1,False,5291,2
404,30000,True,48,0,0,0,1774,1710,1046,False,0,True,8942,0
406,200000,True,52,0,0,0,2690,3487,0,False,1,True,92473,0
407,120000,False,25,0,0,0,6000,0,0,False,0,True,6000,0
408,500000,True,37,1,2,0,325,15296,12137,False,1,True,64709,3
409,320000,False,27,0,0,0,11404,8232,10450,False,1,False,67601,0
410,280000,True,31,0,0,0,10000,8000,6371,False,1,False,42823,0
412,200000,False,38,0,0,0,0,0,367,False,1,True,517,0
413,230000,False,32,1,0,0,0,2809,4606,False,1,True,11611,1
414,230000,False,27,1,2,0,0,1064,423,True,0,False,7441,3
416,50000,False,35,0,0,0,5000,0,0,False,0,True,5640,0
417,200000,False,31,0,0,0,17507,1102,0,False,1,False,19872,0
418,50000,False,30,0,0,0,2000,1600,1200,False,1,False,7800,2
419,50000,True,48,0,0,0,3629,3332,2000,False,0,True,15461,0
420,260000,False,36,1,0,0,0,0,0,True,1,False,0,1
421,30000,True,24,2,0,0,1500,1800,1007,False,1,False,8607,4
422,440000,False,29,0,0,0,8071,9021,7013,False,1,False,42156,0
423,230000,False,38,0,0,0,2795,1350,371,False,0,False,9709,0
425,490000,False,30,0,0,0,10000,7143,7306,False,0,True,43181,0
426,80000,False,32,0,0,0,0,0,0,False,0,True,0,0
428,170000,False,31,0,0,0,199,199,398,True,1,False,1393,0
429,70000,True,27,0,0,0,3600,1646,600,False,1,False,36641,0
430,210000,False,33,0,0,0,6000,4500,5000,False,0,False,24500,0
431,90000,False,25,0,0,0,3200,3300,3000,False,0,False,18601,0
432,390000,False,27,0,0,0,13007,10612,10041,True,1,False,62172,0
433,110000,False,29,0,0,0,2500,2500,2000,False,1,False,13557,0
434,580000,False,36,0,0,0,6422,6565,5951,False,1,True,36784,0
435,360000,True,55,0,0,0,6015,17454,1775,False,0,True,25244,0
437,60000,False,27,0,0,0,0,0,300,False,1,False,650,2
438,110000,True,37,0,0,0,2300,2200,2300,False,0,True,13600,0
439,50000,False,25,0,0,0,2500,3008,1000,False,1,True,8773,0
440,80000,False,23,0,0,0,3212,1600,956,True,1,False,49268,0
441,50000,True,23,0,0,0,350,400,1695,False,0,False,16630,0
442,100000,True,32,0,0,0,4000,4037,6500,False,1,False,21237,4
443,30000,False,26,1,0,0,0,945,0,False,1,False,4137,1
444,200000,False,27,0,0,0,5704,5930,4000,False,1,False,34070,0
445,240000,True,44,0,0,0,12026,9010,7400,True,1,False,51436,0
446,220000,True,34,0,0,0,1600,1500,1100,False,0,False,6300,0
447,160000,False,28,0,0,0,4500,4400,3000,False,1,False,19300,0
448,180000,False,53,0,0,0,1260,29366,54,False,1,True,32279,0
449,200000,True,42,0,0,0,5000,1485,1956,False,0,True,12043,0
450,140000,False,30,0,0,0,4505,12906,0,False,0,True,27121,2
451,380000,True,51,1,0,0,0,0,0,True,1,True,0,1
452,600000,True,53,2,2,0,0,18000,16000,True,1,True,91000,4
454,200000,False,26,0,0,0,179,1443,1443,False,1,False,7394,0
455,80000,True,42,0,0,0,2500,51432,1800,False,0,False,61032,0
456,40000,True,39,0,0,0,2027,1207,301,False,0,False,14049,0
458,50000,True,32,0,0,0,1800,1900,1300,False,1,False,5000,0
459,230000,False,41,0,0,0,18163,5654,12887,False,0,True,59373,0
460,70000,True,48,0,0,0,2100,1217,500,True,0,True,14807,0
461,180000,False,38,0,0,0,5657,10372,5000,False,0,True,36029,0
462,80000,False,36,0,0,0,8638,5723,2980,False,0,True,28667,0
465,170000,False,56,1,0,0,0,1991,0,False,0,False,2755,1
466,230000,True,59,0,0,0,7536,7277,7100,True,1,True,42822,0
467,220000,True,38,0,0,0,8909,7500,9000,True,1,False,45147,0
468,230000,True,32,0,0,0,1610,1224,655,False,0,False,5236,0
469,500000,True,38,0,0,0,10026,7241,50091,False,0,True,99568,0
470,90000,False,41,0,0,0,3276,6246,307,False,1,True,14731,0
471,390000,False,35,0,0,0,13802,16525,8893,True,0,False,67884,0
472,400000,False,41,0,0,0,14020,13595,6243,False,0,False,51938,0
473,180000,True,34,0,0,0,2790,1140,2144,False,0,True,11076,0
475,120000,False,32,0,0,0,2682,0,6440,False,0,True,20172,0
476,60000,False,29,0,0,0,1900,1400,1000,False,0,False,6820,0
477,50000,True,44,0,0,0,1800,1500,1200,False,1,False,7869,0
478,70000,False,37,0,0,0,2518,5950,0,False,0,True,14935,2
479,500000,False,38,0,2,0,0,501,300,False,1,True,2301,2
480,200000,True,31,0,0,0,0,0,0,False,1,False,0,0
483,70000,False,28,0,0,0,2112,1200,758,False,0,False,10806,2
485,100000,False,43,0,0,0,1709,574,556,False,0,True,9818,0
486,190000,True,31,0,0,0,7600,6303,4137,False,0,True,29086,0
487,230000,False,42,0,0,0,15111,13165,0,False,1,True,45768,0
488,320000,True,39,0,0,0,3317,3506,4218,False,0,True,23059,0
489,220000,False,36,0,0,0,1648,792,0,True,0,True,4024,0
490,260000,False,34,0,0,0,6277,4663,4140,False,1,True,29865,0
491,90000,False,32,0,0,0,157,0,0,False,0,False,157,0
493,260000,True,30,0,0,0,4000,11900,207,False,0,False,22116,2
494,170000,False,28,0,0,0,4000,308,0,False,0,False,4308,0
