,Credit Amount,Repay Delay Sep,Repay Delay Aug,Repay Delay Jul,Prior Pay Sep,Prior Pay Aug,Prior Pay Jul,Graduate School,Is Married,Prior Pay Total,Repay Delay Total,Defaulted
38364,120000,1,0,0,509,380,439,1,False,2530,2,True
433,360000,1,0,0,0,0,0,1,False,4298,1,False
7963,240000,0,0,0,0,0,0,1,False,0,0,False
152,130000,1,0,0,5396,5000,3500,0,True,17397,1,False
38202,100000,0,0,0,1990,1913,2013,0,False,10911,0,True
12963,220000,0,0,0,0,1006,6031,1,True,12059,0,False
32161,500000,0,0,0,0,0,0,0,False,384,0,True
27096,10000,0,0,0,8815,1000,0,0,False,32432,0,True
35812,280000,0,0,0,0,580,200,0,False,1096,0,True
9916,470000,0,0,0,499,350,2277,1,False,53175,0,True
29176,10000,0,1,0,0,362,57,0,False,1373,1,True
33020,220000,0,0,0,8644,8394,6749,0,False,43914,0,True
25073,60000,0,0,0,5365,9253,4025,0,False,26485,0,True
14356,50000,0,0,0,6000,5000,5000,0,False,32000,0,False
6699,200000,0,0,0,7398,1000,1000,1,False,10599,0,False
28706,210000,0,0,0,4716,3197,859,0,False,16653,0,True
32304,20000,2,0,0,1545,1513,1581,0,False,7794,3,True
23102,140000,0,0,0,0,1650,0,0,True,4532,0,True
36777,210000,0,0,0,914,438,0,1,False,5114,0,True
26275,120000,0,0,1,6820,3221,3814,0,False,23435,1,True
37549,30000,0,0,0,2000,1966,1948,0,False,11988,0,True
14922,230000,1,0,0,0,0,0,1,True,0,1,True
16665,300000,0,0,0,0,0,0,1,False,951,0,False
29486,420000,0,0,0,16641,16064,14545,0,True,91645,0,True
3726,100000,0,0,0,3200,3155,3504,0,False,19000,0,False
3185,50000,0,0,0,1500,1274,500,0,False,4664,0,False
30393,270000,0,0,0,3501,9999,7499,0,True,31999,1,True
39353,80000,0,1,0,0,1059,289,0,False,2281,2,True
11614,300000,0,0,0,1946,790,3569,1,False,10374,0,False
17427,160000,1,0,0,0,0,0,1,True,0,1,False
39102,160000,0,0,0,3463,3273,2081,0,False,10728,0,True
35094,30000,1,2,2,1005,0,0,0,False,1005,5,True
10489,200000,0,0,0,1917,1000,0,0,False,2917,0,False
34163,50000,1,0,0,2500,1590,1950,0,True,10102,1,True
19977,200000,0,0,0,5005,0,0,1,False,7847,0,False
24386,20000,0,0,0,1400,1500,1275,0,True,10708,0,True
31640,180000,0,0,0,5639,7307,11057,0,False,41682,1,True
38133,30000,2,0,0,1665,1673,1855,0,False,9063,2,True
30128,60000,0,0,0,2591,1595,1320,0,False,8549,0,True
26386,490000,0,0,0,267,850,94,0,True,1679,0,True
5359,210000,1,0,0,0,0,0,0,True,0,1,False
37465,90000,0,0,0,4794,655,480,0,False,6959,0,True
462,250000,0,0,0,8514,1751,6739,0,False,43951,0,False
15439,320000,0,0,2,17100,0,8000,0,False,45100,2,False
34048,70000,0,0,1,5677,2433,829,0,True,14441,2,True
1546,50000,0,0,0,2063,33730,0,0,False,39312,2,False
4340,150000,0,0,0,4756,1919,8144,1,False,26430,0,False
39979,50000,0,0,0,2021,1259,4004,0,True,9274,0,True
3252,220000,0,0,0,3500,6000,3000,0,True,21840,0,False
35739,50000,1,2,0,0,2107,1257,0,False,6891,3,True
3047,140000,0,0,0,7000,5000,2000,0,True,20000,0,False
2079,150000,0,0,0,6900,7200,5450,0,True,35608,0,False
14317,30000,1,2,0,0,1751,1455,0,False,6481,3,True
35488,300000,0,0,0,20465,5487,36718,0,False,76620,0,True
3104,360000,0,0,0,0,0,4237,1,True,15906,0,False
38215,80000,0,0,1,4663,3000,3338,0,True,22187,1,True
24942,50000,0,0,0,1542,1805,4462,0,True,9116,4,True
15347,80000,1,2,2,4350,0,2350,1,False,9979,5,True
5843,160000,0,0,0,21000,421,421,0,False,34757,0,True
12100,10000,1,2,0,1000,1000,9501,0,True,14001,3,False
3543,390000,0,0,0,20000,5006,5006,1,True,41030,0,False
25247,20000,1,0,0,0,0,0,0,False,0,1,True
15010,70000,0,0,0,2782,2700,1732,0,False,10479,0,True
33800,380000,0,0,0,3335,5973,12673,0,True,37586,0,True
3807,200000,1,0,0,479,0,0,1,True,479,1,True
3407,230000,0,0,0,3229,6191,2782,0,True,17167,0,False
28390,160000,0,0,0,390,390,434,1,False,2205,0,True
34074,20000,1,1,0,532,6367,819,1,False,14854,3,True
5512,110000,0,0,0,4000,4300,4164,0,False,26164,0,False
29931,260000,0,0,0,8087,7494,6000,0,False,35268,0,True
39521,20000,0,0,0,1793,2462,4298,0,False,11010,1,True
28179,50000,0,0,0,6174,9259,13700,0,False,48581,0,True
8476,160000,0,0,0,0,0,0,0,True,0,0,True
35008,300000,2,0,0,9697,11246,10759,1,False,61827,2,True
15261,150000,0,0,0,6000,6000,7000,0,False,35180,0,False
17129,360000,0,0,0,8000,7500,3500,0,True,26600,0,False
32632,210000,0,0,0,3450,3818,3044,0,False,17343,0,True
32611,100000,0,0,0,3837,4269,4421,0,True,23347,0,True
28094,360000,1,0,0,0,0,0,0,True,0,1,True
23255,300000,0,0,0,940,10300,1200,0,True,22940,0,False
15863,290000,0,0,0,3000,3500,2500,0,True,16000,0,False
14421,500000,0,0,0,1225,1277,1186,1,False,5171,0,False
36457,180000,0,0,0,1910,1776,1371,0,False,25028,0,True
15397,50000,0,0,0,4000,4000,2257,0,True,14957,0,False
32367,150000,0,0,0,2078,377,12,0,False,5286,2,True
38455,210000,0,0,0,396,1565,131,1,True,3830,0,True
23570,500000,0,0,0,10000,10000,20025,1,True,88025,0,False
5286,90000,0,0,0,4400,4111,2100,0,False,17321,0,False
12394,160000,0,0,0,2725,2767,2769,0,False,13940,0,False
33475,50000,0,0,0,0,0,0,0,False,0,0,True
35577,50000,0,0,0,2014,1841,2000,0,False,12132,0,True
2805,20000,0,0,0,1510,3875,759,0,False,37216,0,False
28328,260000,0,0,0,8205,5144,4310,0,True,29465,0,True
22651,60000,0,0,0,14026,9700,18064,0,True,53663,0,False
12712,50000,0,0,0,1831,1189,3467,0,True,40487,0,False
40044,120000,1,0,0,360,360,274,1,True,2817,1,True
2714,70000,0,0,0,3352,3400,2900,0,True,18010,0,False
21734,300000,0,0,0,850,850,850,0,False,17264,0,True
776,260000,0,0,0,2500,4000,4000,0,False,21140,0,False
25844,260000,0,0,0,0,0,1130,1,False,3309,0,True
21118,50000,0,0,0,2000,1718,1210,0,True,11486,0,False
9863,70000,0,0,0,3000,2000,3000,0,True,12700,0,False
14342,150000,0,0,0,0,0,0,0,True,0,0,False
3244,50000,2,0,0,2500,2100,1900,0,False,12136,2,True
39319,70000,0,0,0,1887,1618,1280,0,False,6296,0,True
15555,200000,0,0,2,298,0,13764,0,False,21621,2,False
9472,220000,0,0,0,5200,2000,2000,0,False,16401,0,False
33605,50000,0,0,0,0,353,23,0,False,5302,1,True
3904,210000,0,0,0,737,737,407,0,True,4257,0,False
10932,380000,1,0,0,0,0,0,0,True,3861,1,False
11480,500000,0,0,0,12475,12650,11354,1,False,71024,0,True
35054,180000,0,0,0,6001,6000,4562,0,False,29506,2,True
22108,50000,0,0,0,1707,1948,11746,1,False,22748,0,True
28393,180000,0,0,0,5971,5781,5753,0,False,30088,1,True
33533,230000,1,0,0,0,64,2236,0,True,2301,1,True
5768,320000,0,0,0,0,0,0,1,True,18590,0,False
18506,100000,0,0,0,3481,6006,3246,0,False,21479,0,False
9902,20000,0,0,0,8019,6779,7547,0,False,46490,0,False
6590,150000,0,0,0,4979,3592,2556,1,False,15854,0,False
23799,180000,0,0,0,2000,2000,2000,0,False,11000,0,False
17218,120000,0,0,0,4100,6000,5000,0,False,83995,0,False
1401,150000,0,0,0,610,610,0,1,False,1830,0,False
14530,410000,1,0,0,0,0,0,1,True,3996,1,False
29663,70000,0,0,0,2911,1952,4886,0,False,12148,4,True
860,200000,0,0,0,3000,3000,3000,0,False,17575,0,False
31561,190000,1,0,0,7419,6374,5209,0,False,35147,1,True
38868,50000,0,0,0,1466,1000,0,0,True,2466,0,True
2971,20000,2,0,0,1600,1500,900,0,False,7993,4,True
15681,210000,0,0,0,0,712,1000,0,True,6533,0,False
33177,30000,0,0,0,1383,1287,1480,0,True,5077,0,True
12568,120000,0,0,0,3000,3000,2000,1,True,23000,2,True
21258,260000,0,0,0,0,0,0,1,True,1150,0,True
13265,100000,0,0,0,1746,1792,1828,0,False,11442,0,False
6629,260000,0,0,0,8017,8117,14044,0,True,46697,0,False
37908,360000,0,0,0,910,910,255,0,True,3578,0,True
2785,260000,0,0,2,45446,9000,0,0,False,82007,4,False
24002,260000,0,0,0,0,0,0,0,True,0,0,True
6218,150000,0,0,0,15227,17610,10055,0,True,44426,0,False
10836,360000,1,0,0,0,0,0,1,True,0,1,False
4145,80000,0,0,0,1785,10000,1541,0,True,18025,0,False
31571,140000,0,0,0,5633,6732,4486,0,False,27897,0,True
28355,20000,0,0,0,3048,8232,196,0,True,13128,1,True
17552,50000,0,0,0,2000,1703,1406,1,True,7133,0,False
22699,420000,0,0,0,1733,10026,1606,0,True,17115,0,False
8826,380000,0,0,0,21255,13052,0,0,True,97877,0,False
751,200000,0,0,0,11496,1011,297,1,True,15727,0,False
5283,150000,0,0,0,10000,7000,4000,0,True,36354,0,False
11035,390000,1,2,0,0,1000,3000,0,False,18822,3,False
27589,100000,0,0,0,3513,4955,4937,0,False,25550,0,True
22211,20000,0,0,0,1500,1500,1500,0,False,22500,0,True
33043,50000,0,0,0,0,0,0,0,False,0,0,True
29455,120000,0,0,0,1348,1242,276,0,False,5144,1,True
20461,150000,1,0,0,0,0,0,1,True,3000,1,False
10745,80000,0,0,0,2089,6000,200,1,False,8289,0,False
15162,20000,0,0,2,3071,0,1555,0,True,6526,2,True
4195,50000,2,0,0,1478,1560,1500,0,True,14198,2,True
8833,230000,1,0,0,0,0,0,0,False,0,1,True
3094,150000,0,0,0,2497,16047,18776,1,True,37320,0,False
14415,50000,0,0,0,330,4975,4838,0,False,11133,0,False
34530,50000,0,0,0,1991,2010,2014,0,True,12291,0,True
24378,50000,0,0,0,1821,2200,2000,0,False,15852,0,False
9813,50000,1,0,0,0,0,0,0,True,6123,1,False
14776,20000,0,0,0,1419,1270,1200,0,True,3993,0,False
11310,320000,0,0,0,430,430,430,1,True,2580,0,False
12279,170000,0,0,0,2500,3000,2200,1,False,12900,0,False
27475,160000,0,0,0,3980,348,419,0,False,6686,0,True
156,180000,0,0,2,37867,0,200,1,False,38067,2,False
35089,20000,0,0,0,1500,1893,943,0,True,5770,0,True
22951,300000,0,0,0,8420,7117,1285,0,False,18876,0,False
16302,50000,0,0,0,3000,15000,2000,0,False,24000,0,False
13261,110000,0,0,0,5604,4661,3560,0,True,21740,2,False
17996,130000,0,0,0,4500,4363,3300,1,False,21943,0,False
29315,30000,1,1,0,39,39,39,0,False,2462,3,True
12911,90000,1,0,0,840,420,0,0,False,2970,3,True
39511,180000,0,0,0,1966,2229,3987,0,False,22821,0,True
27403,20000,0,0,0,1683,4500,1383,0,True,9754,3,True
14095,100000,0,0,0,4000,5000,3006,0,False,18529,0,False
35613,150000,0,0,0,5665,4898,3942,0,False,26514,0,True
22840,30000,0,0,0,2000,2000,1500,0,False,9500,0,True
16965,130000,0,0,0,1288,1700,2000,1,True,73873,0,False
7298,60000,0,0,0,390,317,0,1,False,11707,0,True
26781,40000,0,0,0,2008,3991,16,0,False,10711,1,True
37706,110000,0,0,0,66712,3147,5309,0,False,83841,0,True
22593,120000,0,0,0,5700,5700,6000,1,True,32400,0,False
5341,260000,0,0,0,4405,0,2776,0,True,7181,0,False
22546,180000,0,0,0,0,6709,0,0,False,27076,2,False
22009,70000,0,0,0,2500,1000,0,1,False,14362,0,False
9789,180000,0,0,0,3000,2100,2100,0,False,12566,0,False
31230,120000,1,0,0,2979,2979,119,0,False,11000,3,True
11004,340000,0,0,0,10000,5874,5000,1,False,34274,0,False
23492,50000,0,0,0,1463,1276,827,0,False,4514,0,False
37541,200000,0,0,0,24430,4121,6836,0,False,58785,0,True
14178,380000,1,0,0,3878,8863,8007,0,True,65251,1,False
2198,170000,0,0,0,5250,5100,7500,1,False,25350,2,False
12534,70000,0,0,0,3000,2500,2500,0,False,10500,0,False
9944,50000,0,0,2,2800,0,500,0,True,4285,2,False
16865,300000,1,0,0,0,0,0,1,False,0,1,False
33574,60000,0,0,0,2500,2631,3296,0,True,13387,0,True
14819,140000,0,0,0,2200,2001,2100,1,True,12301,0,False
6718,160000,1,0,2,781,0,0,1,True,781,5,True
33653,50000,0,0,0,1559,11900,13023,0,False,31894,0,True
23346,360000,0,0,0,7174,11044,15895,1,True,54563,0,False
18425,360000,0,0,0,0,0,0,1,True,0,0,True
37761,39718,0,2,0,0,316,26505,0,False,29550,2,True
17667,50000,0,0,0,1282,2613,0,0,False,3895,4,False
10954,400000,0,0,0,816,1617,875,1,True,23774,0,False
1082,30000,0,0,0,1300,1400,500,0,False,5000,0,False
40659,350000,0,0,0,776,0,758,0,True,4596,0,True
38547,296306,0,0,1,6781,1772,4246,1,False,44995,3,True
4169,500000,0,0,0,12836,11525,12489,1,True,61672,0,True
6960,160000,0,0,0,2719,15000,2855,1,True,33288,0,True
13226,170000,1,2,0,3,2008,5000,0,True,13085,3,False
21045,470000,0,0,0,5305,3500,38007,1,True,55819,0,False
37329,10000,0,0,0,2246,1517,672,0,False,5988,0,True
40568,130000,0,0,0,2232,2543,2494,0,False,12607,0,True
28597,30000,0,0,0,1355,1543,615,0,False,5851,0,True
36029,260000,0,0,0,9513,7217,5018,0,True,37028,0,True
40463,100000,0,0,0,3103,2657,2010,0,False,16739,0,True
9250,140000,0,0,0,2510,2450,1676,1,True,14330,0,True
8061,240000,0,0,0,9420,16290,8998,1,False,70924,0,False
4848,180000,0,0,2,22500,121,10000,1,False,77621,2,False
21681,110000,0,0,0,4438,76000,5000,0,True,97438,0,False
895,180000,0,0,0,316,316,316,0,True,1896,0,False
4178,310000,0,0,0,9978,6699,11276,1,False,63320,0,True
21951,20000,0,0,0,2000,1500,4000,0,False,14400,0,False
26536,120000,0,0,0,465,504,1655,1,False,3618,0,True
29067,130000,0,0,0,336,462,882,0,False,3467,0,True
5451,80000,1,0,0,699,0,1579,0,True,8759,1,False
35438,200000,0,0,0,6915,6543,3471,0,False,24510,0,True
27737,50000,1,0,0,3259,1888,1603,0,False,18585,1,True
2788,20000,0,3,2,0,0,4000,0,False,11000,5,False
9601,190000,0,0,0,2200,0,0,0,True,2200,0,False
38589,360000,1,0,0,0,0,0,0,True,0,1,True
32418,120000,0,0,0,1940,2784,2439,0,False,10862,0,True
39439,210000,0,0,0,879,1000,0,1,False,5362,0,True
18193,300000,0,0,0,205,4962,13634,1,False,64251,0,True
31370,80000,0,0,0,2335,1328,2261,0,False,13777,1,True
8138,100000,0,0,0,1600,2000,1000,1,False,7100,0,False
13615,390000,0,0,0,20008,15057,10100,1,False,80165,0,False
17989,330000,0,0,0,0,0,0,0,True,3234,0,False
21223,290000,0,0,0,3721,3700,4005,0,True,21354,0,False
36640,10000,1,0,0,689,553,4848,0,False,6993,1,True
16186,150000,0,0,0,2309,1036,5048,1,False,12969,0,False
28422,50000,0,0,0,1198,1057,16823,0,False,20552,1,True
9040,50000,0,0,0,4000,2400,2000,0,False,17959,0,False
29186,30000,1,2,0,0,1702,1695,0,True,6158,3,True
15635,260000,0,0,0,10000,8000,5028,1,True,43028,0,False
36154,210000,0,0,0,1023,3403,3385,0,False,17082,1,True
17286,250000,1,0,0,0,0,0,0,False,2052,1,False
15231,80000,0,0,0,390,390,390,0,True,2490,0,False
1906,30000,0,0,0,1500,2000,1500,0,False,10000,0,False
18134,190000,0,0,2,2459,0,1200,1,False,7669,2,False
14951,420000,0,0,2,1632,0,13371,1,True,17530,2,False
18840,300000,0,0,0,0,0,0,1,True,825,0,False
33447,60000,0,0,0,1381,1349,941,0,False,13424,0,True
31445,550000,0,0,0,1596,1570,17704,1,False,43208,0,True
3876,110000,0,0,0,2300,2000,3000,0,False,22300,0,False
26690,30000,0,0,0,1704,1599,1558,0,False,13568,0,True
19511,90000,0,0,0,3200,4000,2602,0,True,16802,0,True
15280,150000,1,0,0,382,0,0,1,False,1286,1,False
7735,50000,0,0,0,1400,1183,2000,0,False,6393,2,False
32535,200000,0,0,0,2256,3816,256,0,True,15866,0,True
2387,470000,0,0,0,5000,2600,1500,0,False,14100,0,False
39697,129777,0,0,0,4888,3492,3082,0,False,93257,0,True
12208,200000,0,0,0,5000,3000,7000,1,True,23000,0,False
1413,310000,0,0,0,4000,5000,72529,0,True,94529,0,False
37617,80000,1,0,0,3219,3794,3192,0,True,16859,2,True
34438,210000,0,0,0,2168,1529,1825,1,False,10997,0,True
17181,50000,0,0,0,2021,3259,1754,0,True,12521,0,False
36553,140000,1,0,0,6662,5051,3785,0,False,26070,1,True
20941,50000,0,0,0,2000,2000,2000,1,False,10523,0,False
2543,70000,0,0,0,2100,2000,1200,1,False,8890,2,False
37370,200000,0,0,1,1276,0,456,0,False,2287,2,True
24152,10000,0,0,0,1196,2535,390,0,False,14552,0,True
24026,300000,0,0,0,0,0,0,0,False,0,0,False
26495,307021,1,1,0,457,14404,7021,1,False,36660,2,True
12583,180000,0,0,0,0,0,0,0,True,4834,0,True
12443,120000,0,0,0,5000,4200,5000,1,True,27500,0,False
34423,20000,2,0,0,1430,1373,1184,0,False,5690,2,True
29988,20000,0,0,1,2181,1023,1000,0,False,7179,3,True
15602,50000,0,0,0,1800,2110,2010,0,False,8270,2,False
12725,360000,0,0,0,1120,7065,0,1,True,11124,0,False
38002,80000,0,0,0,3385,2780,1837,0,False,14250,0,True
7720,50000,0,0,0,220,677,1200,1,False,7953,0,False
3805,50000,2,0,0,1878,1641,1000,0,True,7522,2,True
36253,210000,0,0,0,6975,9543,6000,0,True,40306,0,True
36078,300000,0,0,0,0,0,0,0,True,0,0,True
25697,50000,0,0,2,4980,359,2622,0,False,15883,2,True
40671,100000,0,0,0,0,0,0,0,False,0,0,True
26187,314208,1,0,0,9287,7413,6000,0,False,35427,1,True
37808,120000,0,0,1,668,139,0,0,True,1663,2,True
28848,20000,1,0,0,2701,1009,117,0,False,16277,1,True
21196,50000,0,0,0,1300,1300,1400,1,False,7043,0,False
29173,130000,0,0,0,5732,4927,3804,0,False,27310,0,True
20475,110000,0,0,0,4200,4306,1662,0,True,76942,0,True
7655,20000,1,2,2,480,0,0,0,True,480,5,True
784,50000,0,0,0,1261,1261,1261,0,True,7566,0,False
34549,50000,0,0,0,1433,1386,867,0,True,7583,1,True
35932,50000,0,0,0,2209,1380,815,1,False,5947,0,True
33191,200000,1,0,0,0,0,0,1,True,0,1,True
25244,30000,0,0,0,2000,2000,1457,0,False,9542,0,True
28406,120000,0,0,2,837,0,566,1,False,1895,3,True
30996,180000,0,0,0,4763,4506,3724,0,True,21753,0,True
39961,310000,1,0,0,2563,1341,878,1,False,10754,1,True
6127,200000,0,2,0,0,2192,430,0,True,12111,2,True
28364,60000,1,0,0,1586,1527,1105,0,True,9475,2,True
21813,200000,0,0,0,1662,2482,19272,1,True,46891,0,False
15214,320000,0,0,0,14000,14033,14008,0,False,63641,0,False
15113,80000,0,0,0,1739,1701,1439,1,False,8080,0,False
16445,420000,0,0,0,3517,3537,6810,0,True,20128,2,False
8643,150000,0,0,0,2500,1202,3000,0,False,31549,0,False
2095,260000,0,0,0,8500,7000,7508,0,True,45103,0,True
39026,50000,1,0,0,2149,2150,2000,0,True,11879,1,True
10917,250000,0,0,0,10925,2351,1886,0,False,19716,0,False
2829,130000,0,0,0,6500,5000,5000,0,False,32500,0,False
29283,20000,0,0,0,2000,681,4389,0,False,12716,0,True
10072,320000,0,0,0,2301,14109,11,1,False,46636,0,False
37539,200000,0,0,0,3257,1222,2602,0,False,14102,0,True
4961,50000,0,0,0,782,0,4699,0,True,5481,0,False
22519,340000,0,0,2,22000,20251,0,0,True,90427,4,False
26639,322091,1,0,0,10332,11125,10482,0,False,54671,1,True
8490,240000,0,0,0,3000,2400,2300,1,True,14600,0,False
5653,220000,0,0,0,316,316,956,0,True,7333,0,False
5232,140000,0,0,0,6400,7000,5000,1,False,33700,0,False
17578,180000,0,0,0,0,4690,0,0,False,8436,0,True
15180,40000,0,0,2,3967,0,1858,0,False,13930,2,False
968,80000,0,0,0,1642,1975,672,0,True,33622,0,False
162,180000,0,0,0,0,0,0,1,True,0,0,False
3546,20000,1,2,0,0,1303,690,0,True,4544,3,True
26653,150000,0,0,0,5591,7866,5710,0,False,32753,0,True
10464,480000,0,0,0,5000,4000,7172,1,True,25672,0,False
18404,140000,0,0,0,2710,2760,3386,0,True,14938,0,False
2094,20000,0,0,0,1519,1524,500,0,True,5550,0,False
33025,50000,2,2,0,0,1615,1714,0,False,6784,4,True
38923,230000,2,0,0,6050,4188,3009,1,False,20767,2,True
23128,50000,0,0,0,2100,3600,2146,1,False,11244,0,False
18463,270000,0,0,0,14305,43000,1740,0,True,82090,0,False
14766,140000,0,0,2,13650,4700,114,0,True,28864,4,False
2767,50000,0,0,0,1442,1403,1000,0,False,7764,0,False
18290,420000,0,0,0,15000,15000,15000,0,False,89996,0,False
